id,question,slug,category,tags,clobTokenIds,outcomes,outcomePrices,conditionId,active,closed,volumeNum,volume24hr,liquidity,liquidityNum,endDate,orderPriceMinTickSize,orderMinSize,resolutionSource,acceptingOrders,openInterest,createdAt,updatedAt,description,image,icon,enableOrderBook,marketMakerAddress,funded,groupItemTitle,groupItemThreshold
131397,,natural-disaster-in-2026,,"[{""id"": ""74"", ""label"": ""Science"", ""slug"": ""science"", ""forceShow"": false, ""publishedAt"": ""2023-11-02 21:16:20.623+00"", ""updatedBy"": 13, ""createdAt"": ""2023-11-02T21:16:20.826Z"", ""updatedAt"": ""2026-01-16T19:21:38.907872Z"", ""forceHide"": true, ""requiresTranslation"": false}, {""id"": ""84"", ""label"": ""Weather"", ""slug"": ""weather"", ""forceShow"": false, ""publishedAt"": ""2023-11-02 21:17:34.81+00"", ""createdAt"": ""2023-11-02T21:17:34.814Z"", ""updatedAt"": ""2026-01-15T22:11:44.276284Z"", ""requiresTranslation"": false}, {""id"": ""1325"", ""label"": ""Space"", ""slug"": ""space"", ""forceShow"": false, ""publishedAt"": ""2024-02-14 20:38:45.407+00"", ""createdAt"": ""2024-02-14T20:38:45.417Z"", ""updatedAt"": ""2026-01-15T22:12:43.039458Z"", ""isCarousel"": false, ""requiresTranslation"": false}, {""id"": ""101337"", ""label"": ""Parlays"", ""slug"": ""parlays"", ""createdAt"": ""2024-11-27T20:28:32.874197Z"", ""updatedAt"": ""2026-01-15T22:12:54.506031Z"", ""requiresTranslation"": false}, {""id"": ""102023"", ""label"": ""hurricane"", ""slug"": ""hurricane"", ""createdAt"": ""2025-04-07T20:00:43.649061Z"", ""updatedAt"": ""2026-01-15T22:12:54.469729Z"", ""requiresTranslation"": false}, {""id"": ""102182"", ""label"": ""astroid"", ""slug"": ""astroid"", ""createdAt"": ""2025-05-28T18:54:31.691457Z"", ""updatedAt"": ""2026-01-16T19:21:17.738086Z"", ""requiresTranslation"": false}, {""id"": ""100184"", ""label"": ""earthquake"", ""slug"": ""earthquake"", ""updatedAt"": ""2026-01-16T19:20:59.925558Z"", ""requiresTranslation"": false}, {""id"": ""425"", ""label"": ""nasa"", ""slug"": ""nasa"", ""publishedAt"": ""2023-11-02 22:23:17.982+00"", ""createdAt"": ""2023-11-02T22:23:17.99Z"", ""updatedAt"": ""2026-01-16T19:21:35.764276Z"", ""requiresTranslation"": false}, {""id"": ""101998"", ""label"": ""Natural Disaster"", ""slug"": ""natural-disaster"", ""createdAt"": ""2025-03-26T17:29:21.543627Z"", ""updatedAt"": ""2026-01-15T22:12:19.13609Z"", ""requiresTranslation"": false}, {""id"": ""87"", ""label"": ""climate"", ""slug"": ""climate"", ""publishedAt"": ""2023-11-02 21:17:38.407+00"", ""createdAt"": ""2023-11-02T21:17:38.424Z"", ""updatedAt"": ""2026-01-16T23:35:09.293714Z"", ""requiresTranslation"": false}, {""id"": ""496"", ""label"": ""Natural Disasters"", ""slug"": ""natural-disasters"", ""forceShow"": false, ""publishedAt"": ""2023-11-13 16:11:46.538+00"", ""createdAt"": ""2023-11-13T16:11:46.556Z"", ""updatedAt"": ""2026-01-15T22:11:15.639589Z"", ""isCarousel"": false, ""requiresTranslation"": false}, {""id"": ""103037"", ""label"": ""Climate & Science"", ""slug"": ""climate-science"", ""forceShow"": false, ""createdAt"": ""2025-12-30T23:31:52.33537Z"", ""updatedAt"": ""2026-01-16T19:21:20.655637Z"", ""isCarousel"": false, ""requiresTranslation"": false}]",,,,,True,False,,380.076616,14672.1043,,2026-12-31T00:00:00Z,,,,,0,2025-12-29T17:33:33.451629Z,2026-01-21T11:51:53.416034Z,"This market will resolve to “Yes” if any of the following conditions are met during 2026 ET:

- A Category 5 hurricane makes landfall in the US
- A major meteor strikes (10kt+)
- A major volcano erupts (VEI ≥6)
- An 8.5+ earthquake occurs

Otherwise, this market will resolve to “No”.

If required information from the specified sources remains outstanding, the market may stay open until February 28, 2027, 11:59 PM ET. 

The full rules for this market can be found here:
https://polymarket-upload.s3.us-east-2.amazonaws.com/Natural+Disaster+in+2026.pdf
",https://polymarket-upload.s3.us-east-2.amazonaws.com/natural-disaster-in-2026-XCcDaLjjRFc0.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/natural-disaster-in-2026-XCcDaLjjRFc0.jpg,True,,,,
97125,,will-a-hurricane-make-landfall-in-the-us-by-may-31,,"[{""id"": ""87"", ""label"": ""climate"", ""slug"": ""climate"", ""publishedAt"": ""2023-11-02 21:17:38.407+00"", ""createdAt"": ""2023-11-02T21:17:38.424Z"", ""updatedAt"": ""2026-01-16T23:35:09.293714Z"", ""requiresTranslation"": false}, {""id"": ""101998"", ""label"": ""Natural Disaster"", ""slug"": ""natural-disaster"", ""createdAt"": ""2025-03-26T17:29:21.543627Z"", ""updatedAt"": ""2026-01-15T22:12:19.13609Z"", ""requiresTranslation"": false}, {""id"": ""84"", ""label"": ""Weather"", ""slug"": ""weather"", ""forceShow"": false, ""publishedAt"": ""2023-11-02 21:17:34.81+00"", ""createdAt"": ""2023-11-02T21:17:34.814Z"", ""updatedAt"": ""2026-01-15T22:11:44.276284Z"", ""requiresTranslation"": false}, {""id"": ""102023"", ""label"": ""hurricane"", ""slug"": ""hurricane"", ""createdAt"": ""2025-04-07T20:00:43.649061Z"", ""updatedAt"": ""2026-01-15T22:12:54.469729Z"", ""requiresTranslation"": false}, {""id"": ""103037"", ""label"": ""Climate & Science"", ""slug"": ""climate-science"", ""forceShow"": false, ""createdAt"": ""2025-12-30T23:31:52.33537Z"", ""updatedAt"": ""2026-01-16T19:21:20.655637Z"", ""isCarousel"": false, ""requiresTranslation"": false}]",,,,,True,False,,182.53111,4810.237,,2026-05-31T00:00:00Z,,,,,0,2025-12-04T14:38:19.608535Z,2026-01-21T11:51:53.874099Z,"This market will resolve to ""Yes"" if a hurricane makes landfall in the conterminous United States within this market's timeframe, between December 4, 2025, and May 31, 2026, 11:59 PM ET as described in official National Hurricane Center advisories (https://www.nhc.noaa.gov/archive/2025/). If no tropical systems make landfall in the conterminous United States at hurricane status within this market's timeframe, this market will resolve to ""No"".

This market may only resolve to ""No"" after May 31, 2026, 11:59 PM ET if the conditions for a ""Yes"" resolution have not been met.

For the purpose of this market, a hurricane landfall is said to occur when a hurricane's surface center intersects with the coastline, as described at https://www.nhc.noaa.gov/aboutgloss.shtml#LANDFALL , and the NHC officially reports that the storm has maximum sustained winds of 74 mph or higher at the time of landfall.

This market will resolve based on an initial advisory released by the NHC that a hurricane has made landfall within the conterminous United States within the market timeframe regardless of any later retraction or analysis that may contradict the initial announcement.",https://polymarket-upload.s3.us-east-2.amazonaws.com/will-a-hurricane-make-landfall-in-the-us-by-august-31-xeIMbf0KoIuE.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-a-hurricane-make-landfall-in-the-us-by-august-31-xeIMbf0KoIuE.jpg,True,,,,
86415,,max-arctic-sea-ice-extent-this-winter,,"[{""id"": ""84"", ""label"": ""Weather"", ""slug"": ""weather"", ""forceShow"": false, ""publishedAt"": ""2023-11-02 21:17:34.81+00"", ""createdAt"": ""2023-11-02T21:17:34.814Z"", ""updatedAt"": ""2026-01-15T22:11:44.276284Z"", ""requiresTranslation"": false}, {""id"": ""87"", ""label"": ""climate"", ""slug"": ""climate"", ""publishedAt"": ""2023-11-02 21:17:38.407+00"", ""createdAt"": ""2023-11-02T21:17:38.424Z"", ""updatedAt"": ""2026-01-16T23:35:09.293714Z"", ""requiresTranslation"": false}, {""id"": ""102890"", ""label"": ""Climate Change"", ""slug"": ""climate-change"", ""createdAt"": ""2025-11-20T21:16:16.213856Z"", ""updatedAt"": ""2026-01-15T22:12:51.733447Z"", ""requiresTranslation"": false}]",,,,,True,False,,83,4188.67041,,2026-04-01T00:00:00Z,,,,,0,2025-11-20T21:16:15.782481Z,2026-01-21T11:51:54.472835Z,"This market will resolve according to the maximum Arctic sea ice extent for all days between November 20, 2025 and April 1, 2026, as published by the National Snow and Ice Data Center.

This market will remain open until data has been published for April 1, 2026, at which point it will resolve immediately. Any revisions to sea ice extent recorded after data is published for April 1, 2026 will not be considered.

The resolution source for this market measures Arctic sea ice extent to thousands of square kilometers (e.g. 14.255 million sq km). Thus, this is the level of precision that will be used when resolving the market.

The resolution source for this market will be information from the National Snow and Ice Data Center, specifically the maximum value recorded for any day between November 20, 2025 and April 1, 2026 in the “NH-Daily-Extent” tab of the “Sea Ice Index Daily Extent” data set, available at https://nsidc.org/sea-ice-today/sea-ice-tools. If this resolution source becomes unavailable, another resolution source will be chosen. ",https://polymarket-upload.s3.us-east-2.amazonaws.com/max-arctic-sea-ice-extent-this-winter-F26olrf7CGaV.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/max-arctic-sea-ice-extent-this-winter-F26olrf7CGaV.jpg,True,,,,
131228,,major-volcano-eruption-vei-6-in-2026,,"[{""id"": ""74"", ""label"": ""Science"", ""slug"": ""science"", ""forceShow"": false, ""publishedAt"": ""2023-11-02 21:16:20.623+00"", ""updatedBy"": 13, ""createdAt"": ""2023-11-02T21:16:20.826Z"", ""updatedAt"": ""2026-01-16T19:21:38.907872Z"", ""forceHide"": true, ""requiresTranslation"": false}, {""id"": ""100184"", ""label"": ""earthquake"", ""slug"": ""earthquake"", ""updatedAt"": ""2026-01-16T19:20:59.925558Z"", ""requiresTranslation"": false}, {""id"": ""101998"", ""label"": ""Natural Disaster"", ""slug"": ""natural-disaster"", ""createdAt"": ""2025-03-26T17:29:21.543627Z"", ""updatedAt"": ""2026-01-15T22:12:19.13609Z"", ""requiresTranslation"": false}, {""id"": ""103029"", ""label"": ""clima"", ""slug"": ""clima"", ""createdAt"": ""2025-12-29T15:52:09.269619Z"", ""updatedAt"": ""2026-01-16T19:21:20.735973Z"", ""requiresTranslation"": false}, {""id"": ""84"", ""label"": ""Weather"", ""slug"": ""weather"", ""forceShow"": false, ""publishedAt"": ""2023-11-02 21:17:34.81+00"", ""createdAt"": ""2023-11-02T21:17:34.814Z"", ""updatedAt"": ""2026-01-15T22:11:44.276284Z"", ""requiresTranslation"": false}, {""id"": ""596"", ""label"": ""Culture"", ""slug"": ""pop-culture"", ""forceShow"": false, ""publishedAt"": ""2023-11-29 18:40:13.013+00"", ""createdAt"": ""2023-11-29T18:40:14.63Z"", ""updatedAt"": ""2026-01-15T22:12:35.591029Z"", ""requiresTranslation"": false}, {""id"": ""87"", ""label"": ""climate"", ""slug"": ""climate"", ""publishedAt"": ""2023-11-02 21:17:38.407+00"", ""createdAt"": ""2023-11-02T21:17:38.424Z"", ""updatedAt"": ""2026-01-16T23:35:09.293714Z"", ""requiresTranslation"": false}, {""id"": ""103037"", ""label"": ""Climate & Science"", ""slug"": ""climate-science"", ""forceShow"": false, ""createdAt"": ""2025-12-30T23:31:52.33537Z"", ""updatedAt"": ""2026-01-16T19:21:20.655637Z"", ""isCarousel"": false, ""requiresTranslation"": false}, {""id"": ""496"", ""label"": ""Natural Disasters"", ""slug"": ""natural-disasters"", ""forceShow"": false, ""publishedAt"": ""2023-11-13 16:11:46.538+00"", ""createdAt"": ""2023-11-13T16:11:46.556Z"", ""updatedAt"": ""2026-01-15T22:11:15.639589Z"", ""isCarousel"": false, ""requiresTranslation"": false}]",,,,,True,False,,43.75222,21622.9155,,2027-03-31T00:00:00Z,,,,,0,2025-12-29T15:52:08.756764Z,2026-01-21T11:51:54.853472Z,"This market will resolve to ""Yes"" if a natural volcanic eruption with a Volcanic Explosivity Index (VEI) of 6 or higher occurs between the market's creation and December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

The primary resolution source will be the Smithsonian Institution Global Volcanism Program (GVP: https://volcano.si.edu/), specifically the ‘VEI 6’ figure for 2026 released on the page currently titled ""Eruptions Avg 2000-2024 (N/T)"" (https://volcano.si.edu/faq/index.cfm?question=eruptionsbyyear) as of March 31, 2027, 12 PM ET. Any prior updates will not be considered finalized.

If this dataset has not been updated to include all relevant events by March 31, 2027, or if the Smithsonian GVP becomes permanently unavailable, this market may resolve based on a consensus of credible scientific sources, including the U.S. Geological Survey (USGS), national or regional volcanic observatories, or credible reporting of a scientific consensus.

Note: Smithsonian Institution Global Volcanism Program databases, which include eruptions that reached the relevant threshold prior to this market’s timeframe (e.g., https://volcano.si.edu/faq/index.cfm?question=eruptionsbyyear&checkyear=2025), will not be considered.",https://polymarket-upload.s3.us-east-2.amazonaws.com/major-volcano-eruption-vei-6-in-2026-LJHtO8e65z5C.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/major-volcano-eruption-vei-6-in-2026-LJHtO8e65z5C.jpg,True,,,,
97429,,named-storm-forms-before-hurricane-season-197,,"[{""id"": ""101998"", ""label"": ""Natural Disaster"", ""slug"": ""natural-disaster"", ""createdAt"": ""2025-03-26T17:29:21.543627Z"", ""updatedAt"": ""2026-01-15T22:12:19.13609Z"", ""requiresTranslation"": false}, {""id"": ""74"", ""label"": ""Science"", ""slug"": ""science"", ""forceShow"": false, ""publishedAt"": ""2023-11-02 21:16:20.623+00"", ""updatedBy"": 13, ""createdAt"": ""2023-11-02T21:16:20.826Z"", ""updatedAt"": ""2026-01-16T19:21:38.907872Z"", ""forceHide"": true, ""requiresTranslation"": false}, {""id"": ""102023"", ""label"": ""hurricane"", ""slug"": ""hurricane"", ""createdAt"": ""2025-04-07T20:00:43.649061Z"", ""updatedAt"": ""2026-01-15T22:12:54.469729Z"", ""requiresTranslation"": false}, {""id"": ""87"", ""label"": ""climate"", ""slug"": ""climate"", ""publishedAt"": ""2023-11-02 21:17:38.407+00"", ""createdAt"": ""2023-11-02T21:17:38.424Z"", ""updatedAt"": ""2026-01-16T23:35:09.293714Z"", ""requiresTranslation"": false}, {""id"": ""84"", ""label"": ""Weather"", ""slug"": ""weather"", ""forceShow"": false, ""publishedAt"": ""2023-11-02 21:17:34.81+00"", ""createdAt"": ""2023-11-02T21:17:34.814Z"", ""updatedAt"": ""2026-01-15T22:11:44.276284Z"", ""requiresTranslation"": false}]",,,,,True,False,,3.5743840000000002,4015.8089,,2026-05-31T00:00:00Z,,,,,0,2025-12-04T20:09:36.473124Z,2026-01-21T11:51:50.75926Z,"The 2026 Atlantic hurricane season will take place over a period lasting from June 1 to November 30.

This market will resolve to ""Yes"" if NOAA names a storm in the Atlantic between December 4, 2025, and May 31, 2026. Otherwise, this market will resolve to ""No"".

The resolution source for this market will be NOAA’s list of named storms during the Atlantic hurricane season (https://www.nhc.noaa.gov/data/tcr/) and/or their data on individual storms.

If there is a potential named storm that has not yet been classified by May 31, 2026, 11:59 PM ET, the market may remain open until June 1, 12:00 PM ET to determine if a classification was made prior to midnight.",https://polymarket-upload.s3.us-east-2.amazonaws.com/named-storm-before-2025-atlantic-hurricane-season-L5ZsQ43lEwsW.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/named-storm-before-2025-atlantic-hurricane-season-L5ZsQ43lEwsW.jpg,True,,,,
